words,links,capital_words,spam_word_count,is_spam
297,5,2,0,0
652,2,9,6,1
185,1,1,3,0
168,3,18,7,1
313,1,10,2,0
909,4,25,4,1
50,0,3,4,1
208,1,2,2,0
196,10,1,8,1
107,0,2,0,0
672,5,13,10,1
487,0,2,1,0
231,1,3,4,0
109,2,1,2,0
266,1,3,2,0
111,2,0,3,0
57,1,10,2,0
70,2,0,1,0
354,5,6,4,1
188,1,1,1,0
309,2,26,7,1
249,0,3,2,0
48,5,9,1,0
221,1,2,0,0
235,0,1,3,0
294,0,2,5,0
918,6,1,5,1
69,0,3,1,0
217,5,0,1,0
497,1,8,1,0
194,1,3,1,0
268,0,0,2,0
194,2,3,3,0
464,2,3,1,1
38,1,2,1,0
573,10,30,3,1
194,2,2,4,0
364,10,24,8,1
322,5,2,1,0
223,9,30,1,1
265,2,2,4,0
575,5,27,4,1
68,1,3,0,0
480,4,28,9,1
92,2,5,1,1
177,6,20,3,1
204,1,2,0,0
279,2,0,2,0
286,1,7,4,0
100,2,0,2,0
622,9,22,7,1
819,9,15,4,1
232,2,4,2,0
166,2,5,4,1
685,3,24,10,1
168,0,7,10,1
162,2,3,5,0
568,8,20,0,1
25,2,0,2,0
165,0,2,0,0
542,2,22,3,1
88,2,2,0,0
197,2,3,5,0
775,10,1,3,1
302,9,22,8,1
498,7,10,5,1
873,2,16,7,1
928,6,10,9,1
83,10,5,4,1
881,5,26,4,1
519,6,8,6,1
418,1,1,2,0
790,3,24,0,1
90,2,8,1,0
704,5,30,2,1
350,6,1,7,1
61,1,2,2,0
541,7,1,3,1
170,1,2,0,0
155,2,17,5,1
997,6,6,7,1
133,0,0,1,0
156,3,11,6,1
829,1,6,6,1
242,0,0,2,0
805,10,3,1,1
154,2,23,9,1
251,5,5,0,0
596,1,3,5,1
258,1,3,1,0
103,2,2,2,0
128,2,1,3,1
793,3,20,3,1
224,1,1,3,0
69,0,2,2,0
438,1,1,1,0
67,1,3,1,0
393,5,8,10,1
753,1,5,3,1
393,0,2,5,0
739,2,23,10,1
143,6,20,3,1
89,2,1,0,0
927,8,9,9,1
651,10,1,9,1
142,8,16,1,1
284,1,3,0,0
91,2,2,2,0
833,1,19,7,1
56,9,3,3,1
192,10,23,6,1
871,3,10,8,1
274,4,23,4,1
534,1,29,3,1
593,8,15,3,1
141,6,1,0,1
171,3,15,6,1
81,0,9,1,0
180,8,30,9,1
131,7,20,10,1
166,1,2,4,0
60,0,9,4,0
258,0,3,2,0
739,5,5,5,1
222,4,3,2,0
198,2,0,0,0
567,1,16,4,1
481,7,6,4,1
256,2,3,2,0
84,2,0,3,1
291,0,3,0,0
137,2,30,10,1
161,4,4,1,1
239,1,0,3,0
53,1,3,2,0
252,2,2,2,0
133,2,1,0,1
199,5,17,2,1
395,10,13,3,1
955,6,10,8,1
89,2,2,2,0
217,1,1,2,0
106,10,11,10,1
866,3,15,3,1
1000,0,30,6,1
239,1,8,1,0
363,5,11,5,1
238,2,2,5,0
181,2,12,2,1
79,4,0,2,0
938,5,30,7,1
349,3,6,10,1
220,0,2,2,0
200,0,1,1,0
234,1,3,1,0
143,10,28,8,1
250,0,2,2,0
121,3,3,5,1
521,7,25,2,1
538,2,16,0,1
82,2,3,2,0
282,1,0,0,0
37,1,3,2,0
295,2,1,1,0
170,8,23,4,1
383,8,0,0,1
496,2,2,2,0
269,0,1,2,0
686,5,23,9,1
177,2,3,0,0
704,2,9,10,1
935,9,8,3,1
988,3,14,4,1
81,10,22,8,1
41,2,0,2,0
718,7,26,3,1
571,10,16,4,1
78,8,17,10,1
134,5,3,10,1
25,0,2,0,0
371,4,7,6,1
910,8,4,1,1
189,0,3,1,0
430,8,18,6,1
177,0,1,1,0
283,4,26,6,1
644,2,23,6,1
930,4,13,3,1
83,2,23,3,1
496,2,3,0,0
102,1,2,0,0
29,5,5,2,0
640,2,29,7,1
146,5,10,5,0
278,2,7,7,1
158,10,26,4,1
174,1,0,4,1
978,6,3,3,1
649,6,2,0,1
119,9,9,10,1
489,5,28,0,1
169,0,0,2,0
438,4,1,0,0
39,0,0,1,0
909,1,2,3,1
58,4,3,2,0
350,8,29,6,1
123,4,2,2,0
400,0,10,0,0
313,1,2,1,0
736,3,3,9,1
676,4,9,4,1
420,2,0,1,0
188,1,3,2,0
693,9,26,2,1
492,10,5,3,1
935,8,12,5,1
263,2,1,1,0
846,3,22,7,1
99,2,16,9,1
270,2,2,4,0
115,0,3,0,0
824,2,4,3,1
260,3,2,1,0
302,2,2,2,0
119,0,3,1,0
307,7,7,3,1
97,0,3,0,0
156,2,2,1,0
409,10,25,4,1
671,7,7,9,1
134,9,11,1,1
475,0,0,2,0
138,5,2,1,0
212,3,19,7,1
159,2,2,1,0
602,10,30,5,1
820,3,20,6,1
36,2,1,0,0
529,3,0,8,1
288,0,3,1,0
855,4,3,10,1
56,4,30,8,1
178,0,9,6,0
132,3,9,9,1
448,2,10,4,0
62,2,3,0,0
476,10,11,8,1
944,10,15,6,1
296,2,1,1,0
45,2,0,1,0
274,0,3,1,0
756,3,28,9,1
638,2,25,1,1
338,8,7,8,1
57,2,0,4,0
23,0,1,6,0
449,1,3,1,0
194,2,0,5,0
85,9,7,3,1
184,1,0,8,1
269,4,1,2,0
42,2,3,1,0
27,1,6,2,0
125,2,3,6,0
847,4,19,7,1
60,1,2,2,0
294,0,1,2,0
158,9,12,7,1
543,5,2,5,1
487,5,6,3,1
99,2,21,7,1
30,0,0,2,0
912,10,5,0,1
146,0,1,2,0
68,2,3,2,0
582,9,9,3,1
206,5,3,1,0
115,1,5,0,0
168,1,0,1,0
25,5,2,1,0
574,7,0,10,1
26,1,2,3,0
213,0,1,5,1
440,4,4,2,0
58,1,0,1,0
522,9,16,10,1
943,7,30,4,1
178,0,9,3,0
448,2,11,0,1
295,0,1,0,0
715,2,14,7,1
504,8,6,4,1
241,1,10,1,0
207,0,0,2,0
487,5,3,2,0
332,7,5,6,1
380,4,4,7,1
74,3,12,4,1
836,3,6,3,1
85,6,4,3,1
185,2,21,6,1
458,7,16,8,1
388,3,21,9,1
300,4,18,6,1
181,2,0,2,0
212,4,1,10,1
81,0,2,2,0
88,4,2,2,0
395,4,6,10,1
330,2,0,2,1
955,8,16,10,1
92,6,11,10,1
195,9,0,8,1
130,1,1,0,0
764,6,14,10,1
241,2,2,2,0
211,0,18,0,1
111,0,3,3,0
528,4,17,7,1
810,4,15,5,1
172,0,1,2,0
54,2,3,2,0
480,2,3,0,0
244,2,0,0,0
162,2,3,1,0
459,2,7,8,1
114,7,5,7,1
261,1,3,0,0
405,0,5,2,1
113,2,1,1,0
770,9,0,7,1
257,1,1,2,0
156,2,1,0,0
465,2,3,2,0
750,7,4,10,1
243,0,3,2,0
297,9,14,3,1
81,10,24,4,1
368,2,16,2,1
261,2,0,2,0
507,3,3,10,1
735,5,20,5,1
699,4,11,10,1
534,7,21,6,1
165,3,4,0,0
226,2,0,1,0
119,0,3,1,0
619,2,29,8,1
64,5,9,2,1
284,2,6,1,0
93,0,3,2,0
305,2,6,10,1
469,4,3,5,1
242,2,3,0,0
125,1,0,2,0
217,8,0,10,1
458,5,22,9,1
55,2,3,2,0
232,1,2,0,0
248,10,3,3,1
288,10,21,3,1
118,9,13,10,1
366,2,3,0,0
128,1,24,1,1
122,9,5,9,1
247,2,4,1,0
678,9,16,3,1
212,4,3,0,0
326,1,0,1,0
178,8,22,10,1
736,2,25,5,1
200,0,6,10,1
900,3,13,3,1
791,9,27,6,1
289,0,14,6,1
57,5,12,7,1
317,0,1,1,0
190,9,18,8,1
195,4,0,2,0
893,1,26,8,1
190,6,13,6,1
842,2,23,0,1
417,5,13,8,1
207,0,8,1,0
411,1,3,2,0
168,4,2,1,0
335,2,1,1,0
882,9,23,2,1
244,2,0,1,0
138,0,0,2,0
39,0,3,1,0
208,2,0,0,0
405,1,1,2,0
81,6,3,2,1
198,9,6,10,1
247,5,2,1,0
59,1,0,1,0
235,0,0,1,0
199,2,14,6,1
244,9,4,10,1
84,1,14,10,1
239,1,1,2,0
694,1,29,5,1
23,0,1,1,0
336,4,2,0,0
333,2,2,4,0
174,6,29,5,1
177,0,3,4,0
288,2,2,2,0
28,1,2,0,0
147,2,21,5,1
149,1,0,1,0
111,0,1,6,0
812,10,6,3,1
101,4,0,5,1
170,0,2,1,0
46,1,0,2,0
198,0,2,2,0
20,2,2,0,0
236,0,1,3,0
106,8,3,6,1
475,2,1,1,0
151,9,23,6,1
133,2,1,0,0
69,1,1,2,0
287,5,14,10,1
175,2,2,2,0
80,9,8,8,1
161,5,5,0,0
849,0,30,2,1
168,2,1,4,0
309,0,26,8,1
248,2,1,1,0
745,2,5,7,1
226,0,25,8,1
997,0,6,6,1
656,6,27,3,1
824,1,0,8,1
273,0,1,2,0
22,1,1,2,0
237,1,3,2,0
68,0,1,2,0
447,6,21,9,1
303,2,12,9,1
278,7,18,10,1
468,7,20,0,1
179,4,1,2,0
593,5,3,10,1
144,8,27,10,1
389,1,27,2,1
738,3,2,8,1
432,0,2,0,0
39,1,0,0,0
132,1,0,0,0
802,2,15,3,1
675,9,26,2,1
108,0,0,9,1
507,0,21,8,1
146,4,12,7,1
150,1,1,0,0
91,1,9,5,0
353,2,4,2,0
158,1,2,2,0
117,1,3,2,0
140,1,5,4,0
208,0,3,3,0
493,2,5,1,0
281,1,4,2,0
187,0,2,0,0
288,5,0,1,0
61,8,7,4,1
147,0,2,0,0
112,7,6,5,1
159,2,1,2,0
130,0,4,2,0
364,0,1,0,0
645,2,9,3,1
185,0,3,0,0
299,1,8,2,0
422,5,1,0,0
699,3,5,3,1
178,2,1,2,0
870,3,20,3,1
285,0,3,1,0
264,0,0,2,0
979,8,28,5,1
211,1,0,2,0
868,7,3,9,1
101,1,2,2,0
280,2,2,2,0
749,2,0,4,1
120,2,25,9,1
215,2,1,1,0
33,0,1,1,0
236,8,19,7,1
76,1,15,4,1
436,9,29,5,1
364,10,11,1,1
168,0,0,1,0
274,0,0,1,0
846,3,16,5,1
491,3,3,1,0
909,8,13,7,1
141,0,12,4,1
558,3,5,0,1
390,7,26,5,1
144,2,3,1,0
122,1,3,1,0
159,0,1,2,0
128,2,3,1,0
184,2,0,0,0
76,5,0,2,0
977,3,5,6,1
892,9,20,3,1
132,0,26,5,1
807,7,22,4,1
42,1,3,1,0
73,1,3,1,0
637,4,7,9,1
393,8,10,3,1
196,0,1,0,0
257,2,2,2,0
187,4,28,9,1
301,1,9,2,0
46,1,2,0,0
163,2,3,2,0
127,9,17,8,1
275,1,1,2,0
225,2,1,2,0
629,7,29,10,1
366,6,12,8,1
948,8,2,8,1
465,4,12,4,1
173,1,7,2,1
359,0,0,0,1
72,1,1,2,0
337,0,3,2,0
311,9,29,3,1
734,5,20,5,1
937,2,10,7,1
241,4,5,6,1
727,2,1,10,1
123,7,3,3,1
959,5,21,5,1
379,2,11,8,1
545,5,23,10,1
64,0,2,0,0
56,3,1,5,1
56,3,1,2,0
363,8,9,9,1
140,10,18,9,1
151,1,2,6,0
273,4,6,8,1
155,9,30,1,1
147,0,3,2,0
281,1,4,6,0
559,5,28,9,1
294,5,2,1,0
344,9,1,1,1
338,2,1,2,0
622,5,1,7,1
286,1,1,0,0
472,2,1,2,0
990,3,6,5,1
645,6,23,3,1
438,1,3,5,0
429,2,24,6,1
183,6,22,6,1
135,2,2,1,0
82,2,0,1,0
840,7,24,5,1
280,2,3,2,0
246,1,2,4,0
141,7,19,3,1
226,2,3,2,0
120,0,2,0,0
601,5,14,0,1
173,1,2,1,0
282,1,1,0,0
988,8,13,10,1
363,0,2,0,0
20,1,2,2,0
953,8,9,4,1
255,2,0,0,0
264,1,4,1,0
584,9,12,1,1
652,3,26,1,1
199,2,0,4,1
158,2,1,2,0
180,5,7,10,1
431,4,5,5,1
891,3,18,4,1
304,1,6,2,0
39,2,1,0,0
554,0,28,10,1
151,1,3,6,0
534,3,6,0,1
361,9,25,9,1
186,10,28,6,1
411,2,3,2,0
260,8,5,4,1
130,3,13,5,1
638,9,1,6,1
195,1,2,2,0
56,1,2,2,0
865,9,5,3,1
109,1,2,2,0
573,5,27,4,1
872,10,17,8,1
182,2,9,10,1
93,1,0,2,0
319,1,3,2,0
429,1,3,4,0
184,5,27,10,1
144,0,0,9,1
97,2,3,0,0
538,3,20,5,1
87,10,9,8,1
155,1,1,6,0
194,8,5,8,1
398,2,3,4,0
214,2,21,10,1
415,2,3,1,0
108,0,1,6,0
227,3,1,1,0
459,7,22,7,1
258,1,1,1,0
71,0,0,2,0
195,3,12,9,1
211,1,9,0,0
595,3,30,6,1
701,4,7,7,1
429,1,2,2,0
715,8,14,7,1
364,3,23,6,1
297,2,13,7,1
66,0,0,2,0
28,4,1,1,0
159,0,0,0,0
61,0,10,3,0
129,2,1,1,0
933,8,0,3,1
95,5,3,7,1
25,2,3,1,0
125,1,3,2,0
296,2,1,2,0
577,3,19,5,1
226,2,2,0,0
130,2,0,2,0
989,10,6,2,1
314,2,8,0,0
456,5,13,2,1
52,2,3,0,0
824,2,20,4,1
179,4,13,10,1
150,5,3,2,0
266,0,0,3,0
229,1,3,2,0
274,2,2,5,1
151,1,2,1,0
138,5,8,7,1
177,4,22,2,1
328,0,12,6,1
167,3,29,3,1
359,9,2,6,1
204,2,1,2,0
406,0,1,0,0
120,7,5,2,1
347,9,8,0,1
639,2,2,5,1
205,1,2,0,0
269,2,0,5,0
198,1,7,3,0
731,10,0,8,1
958,2,2,4,1
191,2,0,2,0
220,1,3,0,0
749,4,1,10,1
463,8,7,8,1
186,8,1,7,1
122,2,2,2,0
107,6,14,3,1
60,3,1,9,1
114,0,2,0,0
114,0,0,0,0
223,1,3,1,0
853,10,18,3,1
466,0,28,9,1
134,1,1,3,0
865,4,1,10,1
155,4,15,10,1
61,4,17,3,1
45,1,1,1,0
892,7,24,8,1
288,1,2,5,0
237,2,2,1,0
198,7,22,8,1
441,0,3,2,0
167,0,2,1,0
233,3,26,5,1
29,4,3,5,0
385,4,12,3,1
76,2,2,2,0
72,2,17,1,1
514,9,7,7,1
326,3,10,5,0
744,10,3,7,1
445,2,3,2,0
272,0,1,2,0
239,4,15,5,1
146,0,3,0,0
599,7,9,9,1
340,2,9,8,1
139,1,0,3,0
76,4,0,2,0
178,1,1,1,0
118,5,30,7,1
204,1,0,6,0
150,2,10,1,0
208,0,0,1,0
422,7,2,7,1
510,4,21,9,1
396,4,11,7,1
752,6,24,3,1
959,2,30,3,1
121,10,23,7,1
816,7,20,10,1
109,2,5,2,1
307,4,26,10,1
204,2,2,2,0
166,1,2,0,0
83,2,0,0,0
82,6,22,1,1
96,2,0,5,0
247,1,2,2,0
637,5,8,10,1
226,1,10,1,0
714,4,20,9,1
270,2,1,1,0
261,1,4,1,0
218,1,2,2,0
835,8,6,8,1
997,2,17,4,1
446,6,7,9,1
50,9,7,5,1
121,0,0,2,0
250,10,0,4,1
35,0,1,0,0
290,10,18,0,1
399,5,23,5,1
269,2,3,2,0
694,5,24,4,1
209,1,2,2,0
50,3,26,2,1
743,7,19,5,1
130,2,1,6,0
721,3,27,3,1
277,1,2,4,0
200,0,0,2,0
32,2,1,4,0
745,10,18,6,1
192,7,13,4,1
129,3,14,3,1
182,2,26,10,1
860,5,16,6,1
280,0,2,6,0
279,2,1,1,0
108,1,3,2,0
214,1,2,1,0
916,6,22,7,1
158,2,21,1,1
129,1,1,2,0
87,1,28,7,1
142,0,0,2,0
120,3,20,4,1
375,1,6,1,0
78,6,5,10,1
163,0,7,1,0
984,4,17,9,1
290,1,7,1,0
55,3,26,7,1
297,0,2,2,0
470,3,22,10,1
208,0,0,0,0
188,3,5,4,1
76,0,2,2,0
252,9,29,3,1
277,1,10,0,0
810,7,16,4,1
493,3,0,2,0
979,2,19,6,1
923,4,20,5,1
741,2,21,8,1
461,1,2,0,0
318,4,25,6,1
62,2,10,1,0
428,1,0,1,0
39,2,3,2,0
488,2,0,1,0
414,8,11,10,1
792,3,28,9,1
792,2,18,3,1
112,3,12,3,1
384,2,1,0,0
780,9,7,3,1
464,7,9,9,1
618,6,20,10,1
495,1,1,3,0
26,1,2,1,0
102,2,0,2,0
131,2,27,10,1
195,4,3,8,1
157,0,23,8,1
665,2,23,0,1
184,2,3,1,0
294,0,2,6,0
92,3,17,5,1
111,1,20,6,1
399,0,3,2,0
74,0,2,0,0
32,1,2,0,0
171,4,1,6,1
287,2,4,0,0
300,0,1,1,0
340,1,3,6,0
476,0,1,2,0
467,8,1,8,1
62,1,5,1,0
489,2,1,0,0
294,2,3,5,0
232,1,0,1,0
110,1,2,5,0
187,2,3,0,0
97,0,0,0,0
183,3,4,3,1
505,5,7,10,1
254,0,1,2,0
971,10,19,4,1
81,5,23,3,1
247,2,2,0,0
443,1,28,6,1
299,0,2,0,0
442,3,28,10,1
161,4,8,8,1
116,2,3,1,0
241,2,10,2,0
213,1,0,0,0
120,5,2,1,0
440,10,5,7,1
388,7,24,2,1
257,2,0,1,0
163,0,10,2,0
295,1,2,5,0
113,4,0,0,0
211,10,8,5,1
103,0,1,0,0
59,2,0,0,0
103,10,5,7,1
82,1,3,2,0
138,2,11,3,1
845,9,28,5,1
64,1,4,2,0
253,1,0,2,0
150,5,1,7,1
115,1,3,1,0
173,9,11,1,1
252,0,2,4,0
259,0,3,1,0
251,3,4,2,0
100,1,0,0,0
226,5,8,2,0
345,3,3,1,0
213,0,4,0,0
844,10,8,1,1
814,0,7,9,1
142,4,0,0,0
267,0,3,6,0
88,1,5,1,0
74,1,1,0,0
375,2,0,2,0
732,2,13,3,1
101,1,0,0,0
536,9,5,10,1
78,0,7,1,0
269,0,1,0,0
917,2,17,3,1
192,1,3,0,0
597,10,4,7,1
47,2,0,2,0
503,5,20,6,1
314,8,28,2,1
688,8,6,1,1
300,10,30,7,1
241,2,3,1,0
110,5,0,1,0
392,7,10,2,1
199,7,5,4,1
514,2,11,3,1
239,4,5,2,1
250,4,19,5,1
510,4,24,9,1
152,5,0,1,0
830,8,5,10,1
217,1,22,4,1
263,0,3,2,0
255,2,1,2,0
268,0,0,0,0
214,4,19,9,1
422,5,23,7,1
151,2,2,4,0
446,0,4,2,0
274,0,1,1,0
78,2,0,1,0
214,1,2,3,0
218,4,3,1,0
186,2,2,2,0
749,8,26,9,1
210,0,0,4,0
866,7,5,8,1
637,8,26,10,1
130,8,18,8,1
919,0,16,8,1
32,2,3,2,0
64,1,2,2,0
430,8,16,3,1
205,1,8,0,0
215,0,0,0,0
558,6,0,10,1
420,2,20,5,1
85,5,1,1,0
125,1,0,0,0
352,2,0,5,0
127,2,10,1,0
78,0,1,2,0
218,1,1,1,0
137,3,5,8,1
836,1,24,8,1
199,4,24,8,1
479,2,2,5,0
175,1,3,1,0
137,1,3,0,0
391,2,2,6,0
77,5,27,6,1
120,0,17,6,1
22,0,3,3,0
924,8,15,10,1
290,0,0,2,0
244,1,0,0,0
251,1,1,0,0
163,3,5,9,1
671,6,18,0,1
130,0,0,0,0
205,1,1,1,0
744,7,17,0,1
72,2,0,2,0
324,0,8,3,0
909,7,5,2,1
289,2,3,0,0
567,5,16,3,1
130,6,23,4,1
221,1,0,0,0
290,2,2,2,0
774,2,14,7,1
182,4,17,0,1
474,4,13,3,1
577,6,1,5,1
530,10,11,9,1
136,1,3,5,0
187,2,4,3,0
863,2,22,10,1
123,4,30,8,1
242,1,0,0,0
199,2,8,2,0
172,3,1,1,0
243,2,2,4,0
105,1,3,5,0
283,2,0,3,0
255,4,1,4,0
961,2,23,6,1
569,10,30,8,1
80,2,3,0,0
151,1,0,6,0
195,2,28,3,1
616,4,30,5,1
169,0,2,1,0
150,0,3,2,0
184,9,6,3,1
60,1,0,0,0
994,2,10,6,1
121,1,3,6,0
170,2,0,0,0
884,4,5,8,1
213,1,3,0,0
240,0,2,0,0
255,1,1,0,0
327,9,11,9,1
80,2,0,2,0
687,2,23,3,1
250,2,8,1,0
82,5,2,2,0
788,7,25,10,1
640,3,16,2,1
157,3,13,9,1
172,0,0,3,0
426,0,2,1,0
106,7,11,1,1
66,3,18,8,1
707,9,17,8,1
288,3,6,1,0
129,10,1,5,1
165,2,3,0,0
277,2,1,1,0
242,0,5,1,0
141,2,2,1,0
894,4,11,2,1
310,0,2,8,1
31,0,8,4,0
26,0,0,0,0
250,10,29,5,1
28,0,0,2,0
688,9,28,9,1
216,1,1,2,0
159,1,1,1,0
597,7,16,3,1
592,7,3,3,1
836,1,0,7,1
37,2,2,2,0
623,4,25,3,1
82,3,1,10,1
164,1,2,5,0
339,5,19,9,1
86,0,0,1,0
241,1,5,1,0
305,8,12,4,1
116,10,5,0,1
865,2,27,7,1
514,5,7,10,1
57,5,16,6,1
483,6,21,10,1
